Distritos;Habitantes;Superficie(ha);Renta per Capita;Sin Estudios;EGB;FPI/ESO;FPII/BUP/COU/GradoMedio;Universidad/GradoSuperior
Ciutat Vella;108.331;420.5;14.505;96.778;20.871;22.091;20.098;31.021
Eixample;270.694;746.4;24.234;240.393;24.930;40.486;62.152;106.897
Sants-Montjuïc;187.584;2.288;18.710;164.723;32.172;39.820;40.000;46.519
Les Corts;82.635;601;27.992;71.603;7.086;11.477;18.985;31.995
Sarrià-Sant Gervasi;151.157;1.991;33.113;126.181;6.645;15.289;34.637;65.834
Gràcia;123.651;422;23.330;108.090;11.448;18.460;27.708;47.478
Horta-Guinardó;174.799;1.192;19.354;152.047;26.847;38.495;39.845;40.108
Nou Barris;174.012;805;15.924;149.585;37.661;45.768;34.531;23.156
Sant Andreu;151.976;659;19.318;130.564;24.589;34.516;34.458;31.877
Sant Martí;241.691;1.043;19.806;207.790;37.754;50.652;51.632;59.026
